subject	predicate	object	datatype
bmir-radx:nih_high_temp	skos:altLabel	pyrexia	xsd:string
evs:C171257	skos:altLabel	Smoking Device	xsd:string
evs:C161324	skos:altLabel	Demographic Group	xsd:string
evs:C84366	skos:altLabel	Drug User	xsd:string
evs:C175910	skos:altLabel	I have trouble using stairs	xsd:string
evs:C175910	skos:altLabel	Have Trouble Using Stairs	xsd:string
obo:MONDO_0005618	skos:altLabel	anxiety state	xsd:string
obo:MONDO_0005618	skos:altLabel	anxiety disorder	xsd:string
obo:MONDO_0005618	skos:altLabel	anxiety	xsd:string
obo:MONDO_0002406	skos:altLabel	inflammation of the skin	xsd:string
obo:MONDO_0002406	skos:altLabel	skin inflammation	xsd:string
obo:MONDO_0002406	skos:altLabel	zone of skin inflammation	xsd:string
obo:MONDO_0002406	skos:altLabel	inflammatory skin disease	xsd:string
obo:MONDO_0002406	skos:altLabel	inflammation of zone of skin	xsd:string
obo:MONDO_0002406	skos:altLabel	inflammation of skin	xsd:string
bmir-radx:nih_ra	skos:altLabel	atrophic arthritis	xsd:string
bmir-radx:nih_ra	skos:altLabel	rheumatoid arthritis, susceptibility to	xsd:string
bmir-radx:nih_ra	skos:altLabel	arthritis, rheumatoid	xsd:string
bmir-radx:nih_ra	skos:altLabel	autoimmune arthritis	xsd:string
bmir-radx:nih_ra	skos:altLabel	arthritis or polyarthritis, rheumatic	xsd:string
bmir-radx:nih_ra	skos:altLabel	rheumatoid arthritis, progression of	xsd:string
bmir-radx:nih_ra	skos:altLabel	rheumatoid arthritis	xsd:string
bmir-radx:nih_ra	skos:altLabel	RA	xsd:string
obo:MONDO_0003847	skos:altLabel	inborn disorder	xsd:string
obo:MONDO_0003847	skos:altLabel	genetic condition	xsd:string
obo:MONDO_0003847	skos:altLabel	Mendelian disease	xsd:string
obo:MONDO_0003847	skos:altLabel	genetic disease	xsd:string
obo:MONDO_0003847	skos:altLabel	hereditary disease	xsd:string
obo:MONDO_0003847	skos:altLabel	hereditary disease or disorder	xsd:string
obo:MONDO_0003847	skos:altLabel	inherited genetic disease	xsd:string
obo:MONDO_0003847	skos:altLabel	hereditary diseases	xsd:string
obo:MONDO_0003847	skos:altLabel	familial disorder	xsd:string
obo:MONDO_0003847	skos:altLabel	genetic disorder	xsd:string
obo:MONDO_0003847	skos:altLabel	molecular disease	xsd:string
obo:MONDO_0003847	skos:altLabel	inherited disease	xsd:string
obo:MONDO_0000569	skos:altLabel	endocrine system hypersensitivity reaction type II disease	xsd:string
obo:MONDO_0000569	skos:altLabel	endocrine system autoimmune disease	xsd:string
evs:C3507	skos:altLabel	Immune Dysfunction	xsd:string
evs:C3507	skos:altLabel	Immunologic Disorder	xsd:string
evs:C3507	skos:altLabel	Unspecified Immune System Problem	xsd:string
evs:C3507	skos:altLabel	Immune System Disorder	xsd:string
evs:C3507	skos:altLabel	Disorder of Immune System	xsd:string
evs:C3507	skos:altLabel	Immune Disorders	xsd:string
evs:C3507	skos:altLabel	Immune disorder, NOS	xsd:string
evs:C3507	skos:altLabel	Immune Disorder	xsd:string
evs:C3837	skos:altLabel	Neurological Signs and Symptoms	xsd:string
obo:MONDO_0001933	skos:altLabel	disease or disorder of endocrine pancreas	xsd:string
obo:MONDO_0001933	skos:altLabel	endocrine pancreas disease	xsd:string
obo:MONDO_0001933	skos:altLabel	disorder of islets of langerhans	xsd:string
obo:MONDO_0001933	skos:altLabel	endocrine pancreas disease or disorder	xsd:string
obo:MONDO_0001933	skos:altLabel	disease of endocrine pancreas	xsd:string
obo:MONDO_0001933	skos:altLabel	disorder of endocrine pancreas	xsd:string
obo:MONDO_0001933	skos:altLabel	endocrine pancreas disorder	xsd:string
obo:MONDO_0001933	skos:altLabel	disorder of pancreatic islets	xsd:string
bmir-radx:nih_chronic_pain	skos:altLabel	Chronic Pain	xsd:string
bmir-radx:nih_chronic_pain	skos:altLabel	chronic pain	xsd:string
obo:SYMP_0019152	skos:altLabel	profuse perspiration	xsd:string
bmir-radx:nih_sweating	skos:altLabel	profuse perspiration	xsd:string
evs:C171256	skos:altLabel	Non-Medical Object or Device	xsd:string
obo:NCIT_C43431	skos:altLabel	general activity	xsd:string
obo:NCIT_C43431	skos:altLabel	human activity	xsd:string
evs:C173621	skos:altLabel	Vaping	xsd:string
evs:C173621	skos:altLabel	Vape	xsd:string
obo:MONDO_0100118	skos:altLabel	genetic skin disease	xsd:string
obo:MONDO_0100118	skos:altLabel	skin disease, genetic	xsd:string
obo:MONDO_0100118	skos:altLabel	genetic skin diseases	xsd:string
