subject	predicate	object	datatype
radsav:RADSAV_0000052	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000070	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000009	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000119	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000108	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000019	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000008	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000029	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000018	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000128	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000028	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000048	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000037	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000026	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000047	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000003	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000046	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000067	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000056	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000034	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000133	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000100	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000011	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000120	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000042	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000020	radsav:isAuxiliaryTerm	true	xsd:string
radsav:RADSAV_0000130	radsav:isAuxiliaryTerm	true	xsd:string
