subject	predicate	object	datatype
<http://webprotege.stanford.edu/Long+COVID>	rdfs:subClassOf	<http://webprotege.stanford.edu/COVID-19-Related+Disorders>	_IRI
<http://webprotege.stanford.edu/Long+COVID>	rdfs:subClassOf	<http://webprotege.stanford.edu/COVID-19>	_IRI
<http://webprotege.stanford.edu/COVID-19-Related+Disorders>	rdfs:subClassOf	<http://webprotege.stanford.edu/Study+Domain>	_IRI
<http://webprotege.stanford.edu/Individual+Phenotype>	rdfs:subClassOf	<http://webprotege.stanford.edu/Data+Type>	_IRI
<http://webprotege.stanford.edu/Genotyping>	rdfs:subClassOf	<http://webprotege.stanford.edu/Data+Type>	_IRI
<http://webprotege.stanford.edu/Biosensor+Technology>	rdfs:subClassOf	<http://webprotege.stanford.edu/Diagnostic+Techniques+and+Procedures>	_IRI
<http://webprotege.stanford.edu/Incarcerated%2FInstitutionalized%28orCriminalLegalSystemInvolvement%29>	rdfs:subClassOf	<http://webprotege.stanford.edu/Underserved%2FVulnerablePopulation>	_IRI
<http://webprotege.stanford.edu/COVID-19+Testing>	rdfs:subClassOf	<http://webprotege.stanford.edu/Collection+Method>	_IRI
<http://webprotege.stanford.edu/Genomic>	rdfs:subClassOf	<http://webprotege.stanford.edu/Data+Type>	_IRI
<http://webprotege.stanford.edu/Epidemiologic+Study>	rdfs:subClassOf	<http://webprotege.stanford.edu/Study+Design>	_IRI
<http://webprotege.stanford.edu/Cohort+Study>	rdfs:subClassOf	<http://webprotege.stanford.edu/Epidemiologic+Study>	_IRI
<http://webprotege.stanford.edu/Clinical>	rdfs:subClassOf	<http://webprotege.stanford.edu/Data+Type>	_IRI
<http://webprotege.stanford.edu/Serological+%28Antibody%29+Testing>	rdfs:subClassOf	<http://webprotege.stanford.edu/Diagnostic+Techniques+and+Procedures>	_IRI
<http://webprotege.stanford.edu/Wastewater+Surveillance>	rdfs:subClassOf	<http://webprotege.stanford.edu/Disease+Surveillance>	_IRI
<http://webprotege.stanford.edu/Breath+Analysis+Device+%2F+Airborne+Detection+Device>	rdfs:subClassOf	<http://webprotege.stanford.edu/COVID-19+Testing>	_IRI
<http://webprotege.stanford.edu/Behavior>	rdfs:subClassOf	<http://webprotege.stanford.edu/Study+Domain>	_IRI
<http://webprotege.stanford.edu/Health+Behaviors>	rdfs:subClassOf	<http://webprotege.stanford.edu/Behavior>	_IRI
<http://webprotege.stanford.edu/Multisystem+Inflammatory+Syndrome+in+Children+%28MIS-C%29>	rdfs:subClassOf	<http://webprotege.stanford.edu/COVID-19-Related+Disorders>	_IRI
<http://webprotege.stanford.edu/FocusPopulation>	rdfs:subClassOf	owl:Thing	_IRI
<http://webprotege.stanford.edu/Artificial+Intelligence+and+Machine+Learning>	rdfs:subClassOf	<http://webprotege.stanford.edu/Study+Domain>	_IRI
<http://webprotege.stanford.edu/Clinical+Study>	rdfs:subClassOf	<http://webprotege.stanford.edu/Study+Design>	_IRI
