prefix	base
rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs	http://www.w3.org/2000/01/rdf-schema#
xsd	http://www.w3.org/2001/XMLSchema#
owl	http://www.w3.org/2002/07/owl#
ex	http://example.com
bmir-radx	https://bmir-radx.github.io/
ldtab	https://ldtab.org/2021/10/ldtab#
skos	http://www.w3.org/2004/02/skos/core#
schema	https://schema.org/
xml	http://www.w3.org/XML/1998/namespace
obo	http://purl.obolibrary.org/obo/
oboInOwl	http://www.geneontology.org/formats/oboInOwl#
mondo	http://purl.obolibrary.org/obo/mondo#
dc	http://purl.org/dc/elements/1.1/
evs	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#
sio	http://semanticscience.org/resource/
radsav	https://github.com/bmir-radx/radsav/
