subject	predicate	object	datatype
radsav:RADSAV_0000074	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D008137>	_IRI
radsav:RADSAV_0000063	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D011329>	_IRI
radsav:RADSAV_0000041	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D012042>	_IRI
radsav:RADSAV_0000030	rdfs:seeAlso	evs:C147940	_IRI
radsav:RADSAV_0000096	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D003657>	_IRI
radsav:RADSAV_0000085	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D017720>	_IRI
radsav:RADSAV_0000051	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D018486>	_IRI
radsav:RADSAV_0000084	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D000087123>	_IRI
radsav:RADSAV_0000073	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D000094024>	_IRI
radsav:RADSAV_0000072	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D017144>	_IRI
radsav:RADSAV_0000061	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D007109>	_IRI
radsav:RADSAV_0000093	rdfs:seeAlso	evs:C18908	_IRI
radsav:RADSAV_0000093	rdfs:seeAlso	evs:C16268	_IRI
radsav:RADSAV_0000082	rdfs:seeAlso	evs:C189156	_IRI
radsav:RADSAV_0000060	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D054242>	_IRI
radsav:RADSAV_0000092	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D064888>	_IRI
radsav:RADSAV_0000081	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D056186>	_IRI
radsav:RADSAV_0000070	rdfs:seeAlso	evs:C25218	_IRI
radsav:RADSAV_0000090	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D059014>	_IRI
radsav:RADSAV_0000109	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D012424>	_IRI
radsav:RADSAV_0000009	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D015438>	_IRI
radsav:RADSAV_0000119	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D052182>	_IRI
radsav:RADSAV_0000108	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D012141>	_IRI
radsav:RADSAV_0000019	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D000086742>	_IRI
radsav:RADSAV_0000129	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D000073887>	_IRI
