subject	predicate	object	datatype
bmir-radx:nih_high_temp	rdfs:subClassOf	bmir-radx:SymptomDataElement	_IRI
bmir-radx:nih_sweating_99	rdfs:subClassOf	bmir-radx:nih_sweating_value	_IRI
bmir-radx:nih_chd_1	rdfs:subClassOf	bmir-radx:nih_chd_value	_IRI
evs:C171257	rdfs:subClassOf	evs:C171256	_IRI
evs:C161324	rdfs:subClassOf	evs:C17005	_IRI
bmir-radx:nih_seizures_99	rdfs:subClassOf	bmir-radx:nih_seizures_value	_IRI
evs:C84366	rdfs:subClassOf	evs:C199141	_IRI
evs:C175910	rdfs:subClassOf	evs:C173398	_IRI
evs:C175910	rdfs:subClassOf	evs:C131924	_IRI
bmir-radx:nih_psoriasis_value	rdfs:subClassOf	bmir-radx:DataElementValue	_IRI
bmir-radx:nih_alz_98	rdfs:subClassOf	bmir-radx:nih_alz_value	_IRI
bmir-radx:nih_anemia_98	rdfs:subClassOf	bmir-radx:nih_anemia_value	_IRI
obo:MONDO_0005618	rdfs:subClassOf	obo:MONDO_0005084	_IRI
bmir-radx:nih_mental_health_disorder_98	rdfs:subClassOf	bmir-radx:nih_mental_health_disorder_value	_IRI
bmir-radx:nih_slurred_peech	rdfs:subClassOf	bmir-radx:SymptomDataElement	_IRI
bmir-radx:nih_seasonal_allergies_98	rdfs:subClassOf	bmir-radx:nih_seasonal_allergies_value	_IRI
bmir-radx:nih_ethnicity_value	rdfs:subClassOf	bmir-radx:DataElementValue	_IRI
obo:NCIT_C16669	rdfs:subClassOf	obo:NCIT_C19332	_IRI
obo:NCIT_C16669	rdfs:subClassOf	obo:GSSO_003561	_IRI
obo:MONDO_0002406	rdfs:subClassOf	obo:MONDO_0021166	_IRI
obo:MONDO_0002406	rdfs:subClassOf	obo:MONDO_0005093	_IRI
bmir-radx:nih_ra	rdfs:subClassOf	<http://purl.org/blah#InflamatoryDiseaseDataElement>	_IRI
obo:MONDO_0024417	rdfs:subClassOf	obo:MONDO_0005071	_IRI
obo:MONDO_0024417	rdfs:subClassOf	obo:MONDO_0002025	_IRI
obo:MONDO_0003847	rdfs:subClassOf	obo:MONDO_0700096	_IRI
obo:MONDO_0000569	rdfs:subClassOf	obo:MONDO_0007179	_IRI
obo:MONDO_0000569	rdfs:subClassOf	obo:MONDO_0005151	_IRI
evs:C3507	rdfs:subClassOf	evs:C27351	_IRI
bmir-radx:nih_no_sympt_98	rdfs:subClassOf	bmir-radx:nih_no_sympt_value	_IRI
bmir-radx:nih_chd_value	rdfs:subClassOf	bmir-radx:DataElementValue	_IRI
evs:C3837	rdfs:subClassOf	evs:C36280	_IRI
evs:C3837	rdfs:subClassOf	evs:C100104	_IRI
bmir-radx:nih_alc_sub_abuse_0	rdfs:subClassOf	bmir-radx:nih_alc_sub_abuse_value	_IRI
bmir-radx:nih_psoriasis_1	rdfs:subClassOf	bmir-radx:nih_psoriasis_value	_IRI
bmir-radx:nih_fibromyalgia_97	rdfs:subClassOf	bmir-radx:nih_fibromyalgia_value	_IRI
obo:MONDO_0001933	rdfs:subClassOf	obo:MONDO_0002356	_IRI
bmir-radx:nih_cholesterol_97	rdfs:subClassOf	bmir-radx:nih_cholesterol_value	_IRI
obo:MONDO_0000833	rdfs:subClassOf	obo:MONDO_0005381	_IRI
bmir-radx:nih_employment_97	rdfs:subClassOf	bmir-radx:nih_employment_value	_IRI
bmir-radx:nih_chronic_pain	rdfs:subClassOf	bmir-radx:SymptomDataElement	_IRI
obo:SYMP_0019163	rdfs:subClassOf	obo:SYMP_0000387	_IRI
bmir-radx:nih_ethnicity_1	rdfs:subClassOf	bmir-radx:nih_ethnicity_value	_IRI
obo:SYMP_0019152	rdfs:subClassOf	obo:SYMP_0019175	_IRI
bmir-radx:nih_disability_1	rdfs:subClassOf	bmir-radx:nih_disability_value	_IRI
bmir-radx:nih_sweating_98	rdfs:subClassOf	bmir-radx:nih_sweating_value	_IRI
bmir-radx:nih_sweating	rdfs:subClassOf	bmir-radx:SymptomDataElement	_IRI
bmir-radx:nih_chd_0	rdfs:subClassOf	bmir-radx:nih_chd_value	_IRI
bmir-radx:nih_chronic_pain_99	rdfs:subClassOf	bmir-radx:nih_chronic_pain_value	_IRI
evs:C171256	rdfs:subClassOf	evs:C97325	_IRI
obo:NCIT_C43431	rdfs:subClassOf	obo:BFO_0000015	_IRI
bmir-radx:nih_seizures_98	rdfs:subClassOf	bmir-radx:nih_seizures_value	_IRI
evs:C173621	rdfs:subClassOf	evs:C19683	_IRI
bmir-radx:nih_alz_97	rdfs:subClassOf	bmir-radx:nih_alz_value	_IRI
bmir-radx:nih_anemia_97	rdfs:subClassOf	bmir-radx:nih_anemia_value	_IRI
obo:MONDO_0100118	rdfs:subClassOf	obo:MONDO_0005093	_IRI
obo:MONDO_0100118	rdfs:subClassOf	obo:MONDO_0003847	_IRI
evs:C61331	rdfs:subClassOf	evs:C17141	_IRI
obo:MONDO_0006816	rdfs:subClassOf	obo:MONDO_0005172	_IRI
bmir-radx:nih_mental_health_disorder_97	rdfs:subClassOf	bmir-radx:nih_mental_health_disorder_value	_IRI
bmir-radx:nih_cancer_active_treatment_value	rdfs:subClassOf	bmir-radx:DataElementValue	_IRI
bmir-radx:nih_seasonal_allergies_97	rdfs:subClassOf	bmir-radx:nih_seasonal_allergies_value	_IRI
obo:MONDO_0003406	rdfs:subClassOf	obo:MONDO_0100081	_IRI
bmir-radx:nih_ra_99	rdfs:subClassOf	bmir-radx:nih_ra_value	_IRI
obo:MONDO_0004979	rdfs:subClassOf	obo:MONDO_0001358	_IRI
bmir-radx:nih_disability_value	rdfs:subClassOf	bmir-radx:DataElementValue	_IRI
evs:C25218	rdfs:subClassOf	evs:C16203	_IRI
obo:MONDO_0024317	rdfs:subClassOf	obo:MONDO_0700057	_IRI
obo:MONDO_0002515	rdfs:subClassOf	obo:MONDO_0004335	_IRI
evs:C69218	rdfs:subClassOf	evs:C92720	_IRI
bmir-radx:nih_slurred_peech_99	rdfs:subClassOf	bmir-radx:nih_slurred_peech_value	_IRI
obo:MONDO_0000568	rdfs:subClassOf	obo:MONDO_0002977	_IRI
obo:MONDO_0000568	rdfs:subClassOf	obo:MONDO_0002602	_IRI
obo:MONDO_0002977	rdfs:subClassOf	obo:MONDO_0007179	_IRI
obo:MONDO_0002977	rdfs:subClassOf	obo:MONDO_0005071	_IRI
obo:MONDO_0002614	rdfs:subClassOf	obo:MONDO_0005381	_IRI
obo:MONDO_0044348	rdfs:subClassOf	obo:MONDO_0044347	_IRI
obo:NCIT_C25688	rdfs:subClassOf	sio:SIO_000614	_IRI
bmir-radx:nih_no_sympt_97	rdfs:subClassOf	bmir-radx:nih_no_sympt_value	_IRI
evs:C37967	rdfs:subClassOf	evs:C35553	_IRI
bmir-radx:nih_psoriasis_0	rdfs:subClassOf	bmir-radx:nih_psoriasis_value	_IRI
evs:C53268	rdfs:subClassOf	evs:C198997	_IRI
bmir-radx:nih_seizures	rdfs:subClassOf	bmir-radx:SymptomDataElement	_IRI
bmir-radx:nih_ethnicity_0	rdfs:subClassOf	bmir-radx:nih_ethnicity_value	_IRI
bmir-radx:nih_cancer_active_treatment_1	rdfs:subClassOf	bmir-radx:nih_cancer_active_treatment_value	_IRI
bmir-radx:nih_high_temp_99	rdfs:subClassOf	bmir-radx:nih_high_temp_value	_IRI
bmir-radx:nih_disability_0	rdfs:subClassOf	bmir-radx:nih_disability_value	_IRI
bmir-radx:nih_sweating_97	rdfs:subClassOf	bmir-radx:nih_sweating_value	_IRI
bmir-radx:nih_chronic_pain_98	rdfs:subClassOf	bmir-radx:nih_chronic_pain_value	_IRI
obo:NBO_0000079	rdfs:subClassOf	obo:NBO_0001845	_IRI
evs:C20993	rdfs:subClassOf	evs:C18742	_IRI
bmir-radx:nih_chronic_lung_1	rdfs:subClassOf	bmir-radx:nih_chronic_lung_value	_IRI
bmir-radx:nih_seizures_97	rdfs:subClassOf	bmir-radx:nih_seizures_value	_IRI
bmir-radx:nih_immunosuppressive_condition_99	rdfs:subClassOf	bmir-radx:nih_immunosuppressive_condition_value	_IRI
obo:MONDO_0002118	rdfs:subClassOf	obo:MONDO_0700096	_IRI
evs:C16527	rdfs:subClassOf	evs:C61331	_IRI
bmir-radx:nih_red_eyes_99	rdfs:subClassOf	bmir-radx:nih_red_eyes_value	_IRI
bmir-radx:nih_ra_98	rdfs:subClassOf	bmir-radx:nih_ra_value	_IRI
bmir-radx:nih_numb_extremities_99	rdfs:subClassOf	bmir-radx:nih_numb_extremities_value	_IRI
bmir-radx:nih_thyroid_1	rdfs:subClassOf	bmir-radx:nih_thyroid_value	_IRI
bmir-radx:DataElementValue	rdfs:subClassOf	owl:Thing	_IRI
bmir-radx:nih_chronic_lung_value	rdfs:subClassOf	bmir-radx:DataElementValue	_IRI
bmir-radx:nih_no_sympt	rdfs:subClassOf	bmir-radx:DataElement	_IRI
obo:MONDO_0000589	rdfs:subClassOf	obo:MONDO_0007179	_IRI
obo:MONDO_0000589	rdfs:subClassOf	obo:MONDO_0002081	_IRI
bmir-radx:nih_immunocompromised_1	rdfs:subClassOf	bmir-radx:nih_immunocompromised_value	_IRI
bmir-radx:nih_slurred_peech_98	rdfs:subClassOf	bmir-radx:nih_slurred_peech_value	_IRI
bmir-radx:nih_gerd_99	rdfs:subClassOf	bmir-radx:nih_gerd_value	_IRI
obo:MONDO_0044347	rdfs:subClassOf	obo:MONDO_0005570	_IRI
obo:MONDO_0002602	rdfs:subClassOf	obo:MONDO_0005071	_IRI
obo:MONDO_0021698	rdfs:subClassOf	obo:MONDO_0002494	_IRI
bmir-radx:nih_seasonal_allergies	rdfs:subClassOf	<http://purl.org/blah#InflamatoryDiseaseDataElement>	_IRI
bmir-radx:nih_throat_congestion_nose_99	rdfs:subClassOf	bmir-radx:nih_throat_congestion_nose_value	_IRI
obo:MONDO_0003900	rdfs:subClassOf	obo:MONDO_0700096	_IRI
bmir-radx:nih_mental_health_disorder	rdfs:subClassOf	bmir-radx:MentalHealthDataElement	_IRI
bmir-radx:nih_thyroid_value	rdfs:subClassOf	bmir-radx:DataElementValue	_IRI
bmir-radx:nih_immunocompromised_value	rdfs:subClassOf	bmir-radx:DataElementValue	_IRI
bmir-radx:nih_alz	rdfs:subClassOf	bmir-radx:MentalHealthDataElement	_IRI
bmir-radx:nih_anemia	rdfs:subClassOf	bmir-radx:Disease_Data_Element	_IRI
bmir-radx:nih_cld_bpd_99	rdfs:subClassOf	bmir-radx:nih_cld_bpd_value	_IRI
bmir-radx:nih_cancer_active_treatment_0	rdfs:subClassOf	bmir-radx:nih_cancer_active_treatment_value	_IRI
bmir-radx:nih_high_temp_98	rdfs:subClassOf	bmir-radx:nih_high_temp_value	_IRI
