subject	predicate	object	datatype
bmir-radx:nih_high_temp	rdfs:label	nih_high_temp Data Element	xsd:string
bmir-radx:nih_sweating_99	rdfs:label	nih_sweating Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_chd_1	rdfs:label	nih_chd Value, 1 (Yes)	xsd:string
evs:C171257	rdfs:label	Smoking Device	xsd:string
evs:C161324	rdfs:label	Demographic Group	xsd:string
bmir-radx:nih_seizures_99	rdfs:label	nih_seizures Value, 99 (Prefer not to answer)	xsd:string
evs:C84366	rdfs:label	Drug User	xsd:string
evs:C175910	rdfs:label	Have Trouble Using Stairs	xsd:string
bmir-radx:nih_psoriasis_value	rdfs:label	nih_psoriasis value	xsd:string
bmir-radx:nih_alz_98	rdfs:label	nih_alz Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_anemia_98	rdfs:label	nih_anemia Value, 98 (Don’t know)	xsd:string
obo:MONDO_0005618	rdfs:label	anxiety disorder	xsd:string
bmir-radx:nih_mental_health_disorder_98	rdfs:label	nih_mental_health_disorder Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_slurred_peech	rdfs:label	nih_slurred_peech Data Element	xsd:string
bmir-radx:nih_seasonal_allergies_98	rdfs:label	nih_seasonal_allergies Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_ethnicity_value	rdfs:label	nih_ethnicity value	xsd:string
obo:NCIT_C16669	rdfs:label	health status	xsd:string
obo:MONDO_0002406	rdfs:label	dermatitis	xsd:string
bmir-radx:nih_ra	rdfs:label	nih_ra Data Element	xsd:string
obo:MONDO_0024417	rdfs:label	perceptual disorders	xsd:string
obo:MONDO_0003847	rdfs:label	hereditary disease	xsd:string
obo:MONDO_0000569	rdfs:label	autoimmune disorder of endocrine system	xsd:string
evs:C3507	rdfs:label	Immune System Disorder	xsd:string
bmir-radx:nih_no_sympt_98	rdfs:label	nih_no_sympt Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_chd_value	rdfs:label	nih_chd value	xsd:string
evs:C3837	rdfs:label	Neurological Signs and Symptoms	xsd:string
bmir-radx:nih_alc_sub_abuse_0	rdfs:label	nih_alc_sub_abuse Value, 0 (No)	xsd:string
bmir-radx:nih_psoriasis_1	rdfs:label	nih_psoriasis Value, 1 (Yes)	xsd:string
bmir-radx:nih_fibromyalgia_97	rdfs:label	nih_fibromyalgia Value, 97 (Other)	xsd:string
obo:MONDO_0001933	rdfs:label	endocrine pancreas disorder	xsd:string
bmir-radx:nih_cholesterol_97	rdfs:label	nih_cholesterol Value, 97 (Other)	xsd:string
obo:MONDO_0000833	rdfs:label	bone remodeling disease	xsd:string
bmir-radx:nih_employment_97	rdfs:label	nih_employment Value, 97 (Other)	xsd:string
bmir-radx:nih_chronic_pain	rdfs:label	nih_chronic_pain Data Element	xsd:string
obo:SYMP_0019163	rdfs:label	eye symptom	xsd:string
bmir-radx:nih_ethnicity_1	rdfs:label	nih_ethnicity Value, 1 (Yes, of Hispanic or Latino origin)	xsd:string
obo:SYMP_0019152	rdfs:label	diaphoresis	xsd:string
bmir-radx:nih_disability_1	rdfs:label	nih_disability Value, 1 (Yes)	xsd:string
bmir-radx:nih_sweating_98	rdfs:label	nih_sweating Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_sweating	rdfs:label	nih_sweating Data Element	xsd:string
bmir-radx:nih_chd_0	rdfs:label	nih_chd Value, 0 (No)	xsd:string
bmir-radx:nih_chronic_pain_99	rdfs:label	nih_chronic_pain Value, 99 (Prefer not to answer)	xsd:string
evs:C171256	rdfs:label	Non-Medical Object or Device	xsd:string
obo:NCIT_C43431	rdfs:label	activity	xsd:string
bmir-radx:nih_seizures_98	rdfs:label	nih_seizures Value, 98 (Don’t know)	xsd:string
evs:C173621	rdfs:label	Vaping	xsd:string
bmir-radx:nih_alz_97	rdfs:label	nih_alz Value, 97 (Other)	xsd:string
bmir-radx:nih_anemia_97	rdfs:label	nih_anemia Value, 97 (Other)	xsd:string
obo:MONDO_0100118	rdfs:label	hereditary skin disorder	xsd:string
evs:C61331	rdfs:label	Economics	xsd:string
obo:MONDO_0006816	rdfs:label	arthropathy	xsd:string
bmir-radx:nih_mental_health_disorder_97	rdfs:label	nih_mental_health_disorder Value, 97 (Other)	xsd:string
bmir-radx:nih_cancer_active_treatment_value	rdfs:label	nih_cancer_active_treatment value	xsd:string
bmir-radx:nih_seasonal_allergies_97	rdfs:label	nih_seasonal_allergies Value, 97 (Other)	xsd:string
obo:MONDO_0003406	rdfs:label	sleep-wake disorder	xsd:string
bmir-radx:nih_ra_99	rdfs:label	nih_ra Value, 99 (Prefer not to answer)	xsd:string
obo:MONDO_0004979	rdfs:label	asthma	xsd:string
bmir-radx:nih_disability_value	rdfs:label	nih_disability value	xsd:string
evs:C25218	rdfs:label	Intervention or Procedure	xsd:string
obo:MONDO_0024317	rdfs:label	chronic pain syndrome	xsd:string
obo:MONDO_0002515	rdfs:label	hepatobiliary disorder	xsd:string
evs:C69218	rdfs:label	Pregnancy Status	xsd:string
bmir-radx:nih_slurred_peech_99	rdfs:label	nih_slurred_peech Value, 99 (Prefer not to answer)	xsd:string
obo:MONDO_0000568	rdfs:label	autoimmune disorder of central nervous system	xsd:string
obo:MONDO_0002977	rdfs:label	autoimmune disorder of the nervous system	xsd:string
obo:MONDO_0002614	rdfs:label	bone inflammation disease	xsd:string
obo:MONDO_0044348	rdfs:label	hemoglobinopathy	xsd:string
obo:NCIT_C25688	rdfs:label	status	xsd:string
bmir-radx:nih_no_sympt_97	rdfs:label	nih_no_sympt Value, 97 (Other)	xsd:string
evs:C37967	rdfs:label	Hypercholesterolemia	xsd:string
bmir-radx:nih_psoriasis_0	rdfs:label	nih_psoriasis Value, 0 (No)	xsd:string
evs:C53268	rdfs:label	Recipient	xsd:string
bmir-radx:nih_seizures	rdfs:label	nih_seizures Data Element	xsd:string
bmir-radx:nih_ethnicity_0	rdfs:label	nih_ethnicity Value, 0 (No, not of Hispanic or Latino origin)	xsd:string
bmir-radx:nih_cancer_active_treatment_1	rdfs:label	nih_cancer_active_treatment Value, 1 (Yes)	xsd:string
bmir-radx:nih_high_temp_99	rdfs:label	nih_high_temp Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_disability_0	rdfs:label	nih_disability Value, 0 (No)	xsd:string
bmir-radx:nih_sweating_97	rdfs:label	nih_sweating Value, 97 (Other)	xsd:string
bmir-radx:nih_chronic_pain_98	rdfs:label	nih_chronic_pain Value, 98 (Don’t know)	xsd:string
obo:NBO_0000079	rdfs:label	feeding behavior	xsd:string
evs:C20993	rdfs:label	Research or Clinical Assessment Tool	xsd:string
bmir-radx:nih_chronic_lung_1	rdfs:label	nih_chronic_lung Value, 1 (Yes)	xsd:string
bmir-radx:nih_seizures_97	rdfs:label	nih_seizures Value, 97 (Other)	xsd:string
bmir-radx:nih_immunosuppressive_condition_99	rdfs:label	nih_immunosuppressive_condition Value, 99 (Prefer not to answer)	xsd:string
obo:MONDO_0002118	rdfs:label	urinary system disorder	xsd:string
evs:C16527	rdfs:label	Medical Economics	xsd:string
bmir-radx:nih_red_eyes_99	rdfs:label	nih_red_eyes Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_ra_98	rdfs:label	nih_ra Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_numb_extremities_99	rdfs:label	nih_numb_extremities Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_thyroid_1	rdfs:label	nih_thyroid Value, 1 (Yes)	xsd:string
bmir-radx:nih_chronic_lung_value	rdfs:label	nih_chronic_lung value	xsd:string
bmir-radx:nih_no_sympt	rdfs:label	nih_no_sympt Data Element	xsd:string
obo:MONDO_0000589	rdfs:label	autoimmune disorder of musculoskeletal system	xsd:string
bmir-radx:nih_immunocompromised_1	rdfs:label	nih_immunocompromised Value, 1 (Yes)	xsd:string
bmir-radx:nih_slurred_peech_98	rdfs:label	nih_slurred_peech Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_gerd_99	rdfs:label	nih_gerd Value, 99 (Prefer not to answer)	xsd:string
obo:MONDO_0044347	rdfs:label	erythrocyte disorder	xsd:string
