subject	predicate	object	datatype
bmir-radx:nih_high_temp	rdfs:seeAlso	bmir-radx:nih_high_temp_97	_IRI
bmir-radx:nih_high_temp	rdfs:seeAlso	bmir-radx:nih_high_temp_0	_IRI
bmir-radx:nih_high_temp	rdfs:seeAlso	bmir-radx:nih_high_temp_99	_IRI
bmir-radx:nih_high_temp	rdfs:seeAlso	obo:SYMP_0000613	_IRI
bmir-radx:nih_high_temp	rdfs:seeAlso	bmir-radx:nih_high_temp_98	_IRI
bmir-radx:nih_high_temp	rdfs:seeAlso	bmir-radx:nih_high_temp_1	_IRI
bmir-radx:nih_sweating_99	rdfs:seeAlso	bmir-radx:nih_sweating	_IRI
bmir-radx:nih_chd_1	rdfs:seeAlso	bmir-radx:nih_chd	_IRI
evs:C171257	rdfs:seeAlso	bmir-radx:nih_vape_freq	_IRI
evs:C161324	rdfs:seeAlso	bmir-radx:nih_ethnicity	_IRI
bmir-radx:nih_seizures_99	rdfs:seeAlso	bmir-radx:nih_seizures	_IRI
evs:C84366	rdfs:seeAlso	bmir-radx:nih_iv_drug_use	_IRI
evs:C175910	rdfs:seeAlso	bmir-radx:nih_walk_climb	_IRI
bmir-radx:nih_psoriasis_value	rdfs:seeAlso	bmir-radx:nih_psoriasis	_IRI
bmir-radx:nih_alz_98	rdfs:seeAlso	bmir-radx:nih_alz	_IRI
bmir-radx:nih_anemia_98	rdfs:seeAlso	bmir-radx:nih_anemia	_IRI
obo:MONDO_0005618	rdfs:seeAlso	bmir-radx:nih_anxiety	_IRI
bmir-radx:nih_mental_health_disorder_98	rdfs:seeAlso	bmir-radx:nih_mental_health_disorder	_IRI
bmir-radx:nih_slurred_peech	rdfs:seeAlso	bmir-radx:nih_slurred_peech_98	_IRI
bmir-radx:nih_slurred_peech	rdfs:seeAlso	bmir-radx:nih_slurred_peech_1	_IRI
bmir-radx:nih_slurred_peech	rdfs:seeAlso	bmir-radx:nih_slurred_peech_99	_IRI
bmir-radx:nih_slurred_peech	rdfs:seeAlso	obo:SYMP_0000342	_IRI
bmir-radx:nih_slurred_peech	rdfs:seeAlso	bmir-radx:nih_slurred_peech_97	_IRI
bmir-radx:nih_slurred_peech	rdfs:seeAlso	bmir-radx:nih_slurred_peech_0	_IRI
bmir-radx:nih_seasonal_allergies_98	rdfs:seeAlso	bmir-radx:nih_seasonal_allergies	_IRI
bmir-radx:nih_ethnicity_value	rdfs:seeAlso	bmir-radx:nih_ethnicity	_IRI
obo:NCIT_C16669	rdfs:seeAlso	bmir-radx:nih_disability	_IRI
obo:MONDO_0002406	rdfs:seeAlso	bmir-radx:nih_psoriasis	_IRI
bmir-radx:nih_ra	rdfs:seeAlso	bmir-radx:nih_ra_97	_IRI
bmir-radx:nih_ra	rdfs:seeAlso	bmir-radx:nih_ra_99	_IRI
bmir-radx:nih_ra	rdfs:seeAlso	obo:MONDO_0008383	_IRI
bmir-radx:nih_ra	rdfs:seeAlso	bmir-radx:nih_ra_98	_IRI
bmir-radx:nih_ra	rdfs:seeAlso	bmir-radx:nih_ra_0	_IRI
bmir-radx:nih_ra	rdfs:seeAlso	bmir-radx:nih_ra_1	_IRI
obo:MONDO_0024417	rdfs:seeAlso	bmir-radx:nih_blind	_IRI
